queue_rank,task_id,target_phase,family,worker_role,task,acceptance,review_points
1,286,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task286について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task286: validation pass, cost < 110902, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
2,187,phase1_6500_bridge,point_to_line_pattern,low_reasoning_candidate_worker,task187について、seed-to-pattern grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task187: validation pass, cost < 105313, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
3,198,phase1_6500_bridge,line_grid_fill,low_reasoning_candidate_worker,"task198について、line, ray, and grid grammarの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。","task198: validation pass, cost < 103821, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
4,203,phase1_6500_bridge,region_partition_fill,low_reasoning_candidate_worker,task203について、region and room-fill synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task203: validation pass, cost < 88402, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
5,398,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task398について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task398: validation pass, cost < 84295, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
6,313,phase1_6500_bridge,region_partition_fill,low_reasoning_candidate_worker,task313について、region and room-fill synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task313: validation pass, cost < 83572, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
7,255,phase1_6500_bridge,same_shape_global_transform,low_reasoning_candidate_worker,task255について、global transform and artifact surgeryの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task255: validation pass, cost < 74403, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
8,29,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task029について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task029: validation pass, cost < 71139, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
9,107,phase1_6500_bridge,crop_resize,low_reasoning_candidate_worker,task107について、object-anchor crop/resize synthesizerの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task107: validation pass, cost < 73131, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
10,280,phase1_6500_bridge,signature_lookup_current,low_reasoning_candidate_worker,task280について、lookup compression and rule extractionの候補を1 familyだけ生成する。ONNX生成前にpreferred/reject loweringを確認し、proof logを残す。,"task280: validation pass, cost < 70515, target cost <= 9000, static/banned-op gate pass","validation, static shape, banned ops, cost, leakage risk, overfitting risk"
