queue_rank,task_id,target_phase,synthesis_family,route_prediction,current_source,current_template,current_cost,current_points,target_cost,projected_gain_to_target,priority_score,required_system,first_action,preferred_lowerings,reject_lowerings,proof_requirements,worker_acceptance,leakage_risk,private_risk
1,286,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp012_signature_scatter_lookup,signature_scatter_lookup,110902,13.383597792559053,9000,2.51142235112259,39.08062571866685,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task286: validation pass, cost < 110902, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
2,187,phase1_6500_bridge,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,105313,13.435307852707972,9000,2.4597122909736715,38.16181505702875,seed-to-pattern grammar,"identify seed colors and directions; enumerate rays, periodic diagonal shifts, boxes, and reflected motifs; bind colors through roles rather than absolute labels when possible",constant affine coordinate masks; small Conv kernels for line detection; Gather/Where over precomputed row-column masks,per-cell ScatterND table; full-grid iterative ray propagation; Where chain over all periods,direction/period inferred from train examples; sample validation pass; private-like rule note names the invariant; cost is lower than current selected ONNX,"task187: validation pass, cost < 105313, target cost <= 9000, static/banned-op gate pass",medium,medium
3,198,phase1_6500_bridge,line_grid_fill,same_shape_global_transform,massimilianoghiotto_6254,baseline,103821,13.449576458609688,9000,2.4454436850719556,38.00486039210987,"line, ray, and grid grammar",detect complete/incomplete rows and columns; enumerate line extension and crossing rules; fit stop conditions from blockers and colors,ReduceSum row/column masks; small Conv kernels; constant masks plus Where,per-cell ScatterND table; full-grid Tile; long Where chain,line stop condition is explicit; sample validation pass; static shape check pass; cost is lower than current selected ONNX,"task198: validation pass, cost < 103821, target cost <= 9000, static/banned-op gate pass",medium,medium
4,203,phase1_6500_bridge,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,88402,13.610350127195805,9000,2.2846700164858387,36.23635003766258,region and room-fill synthesizer,detect boundary colors and line-grid rooms; prefer closed-form room masks over flood-fill unroll; try row/column prefix reductions before dilation,static row/column ReduceSum masks; small Conv kernels; single-pass room mask Where,radius-scale flood-fill unroll; many-step dilation; dynamic full-grid color map,boundary/interior semantics fit train examples; sample validation pass; unroll count is justified by cost gate; cost is lower than current selected ONNX,"task203: validation pass, cost < 88402, target cost <= 9000, static/banned-op gate pass",medium,medium-high
5,398,phase1_6500_bridge,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,84295,13.657922169750098,9000,2.2370979739315455,35.71305756956536,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task398: validation pass, cost < 84295, target cost <= 9000, static/banned-op gate pass",medium,medium
6,313,phase1_6500_bridge,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,83572,13.666536185257858,9000,2.2284839584237854,35.61830339898,region and room-fill synthesizer,detect boundary colors and line-grid rooms; prefer closed-form room masks over flood-fill unroll; try row/column prefix reductions before dilation,static row/column ReduceSum masks; small Conv kernels; single-pass room mask Where,radius-scale flood-fill unroll; many-step dilation; dynamic full-grid color map,boundary/interior semantics fit train examples; sample validation pass; unroll count is justified by cost gate; cost is lower than current selected ONNX,"task313: validation pass, cost < 83572, target cost <= 9000, static/banned-op gate pass",medium,medium-high
7,255,phase1_6500_bridge,same_shape_global_transform,same_shape_global_transform,kojimar_5800_minimal_blend,baseline,74403,13.782748457411104,9000,2.112271686270539,34.339968405294286,global transform and artifact surgery,test flip/rotate/transpose/color-map sketches; inspect current artifact for unused initializers; prefer graph surgery when artifact is already compact,Transpose; Gather; initializer prune; 1x1 Conv,rewriting compact artifact with larger full-grid graph,transform proof fits train examples; sample validation pass; cost is lower than current selected ONNX,"task255: validation pass, cost < 74403, target cost <= 9000, static/banned-op gate pass",low,medium
8,29,phase1_6500_bridge,signature_lookup_current,crop_or_resize,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,71139,13.82760901138578,9000,2.067411132295863,34.19650231157285,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task029: validation pass, cost < 71139, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
9,107,phase1_6500_bridge,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,73131,13.799992367549814,9000,2.095027776131829,34.15028539376848,object-anchor crop/resize synthesizer,"enumerate fixed crop, object-centered crop, mask-color crop; fit output shape rule from train examples; prefer constant Slice before dynamic bbox",Slice with constant starts/ends; Gather over static row/column indices; small Pad/Concat only when shape is fixed,NonZero or Compress bbox extraction; full-grid Tile plus mask; large ScatterND for every output cell,shape rule fits every train pair; sample validation pass; no dynamic shape tensors; cost target is met before full validation,"task107: validation pass, cost < 73131, target cost <= 9000, static/banned-op gate pass",medium,medium
10,280,phase1_6500_bridge,signature_lookup_current,sparse_edit_or_object_completion,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,70515,13.836419267873659,9000,2.0586008758079846,34.099589490206185,lookup compression and rule extraction,mine train/test signatures for invariant features; fit a shallow decision tree or affine hash over colors/shapes/anchors; attempt DSL replacement before another lookup variant,small Gather over learned color roles; constant Slice/Gather for extracted crop cases; initializer-pruned decision tree,large per-example ScatterND coordinate table; full arc-gen memorization; dynamic hash table with large MatMul,all train/test examples pass; arc-gen sample pass; rule description does not mention hidden labels; cost is lower than current selected ONNX,"task280: validation pass, cost < 70515, target cost <= 9000, static/banned-op gate pass",high,high until replaced by rule
