priority_rank,task_id,current_cost,current_points,synthesis_family,route_prediction,current_source,current_template,target_phase,required_system,required_lowering,main_blocker,gain_if_cost_le_9000,gain_if_cost_le_3000,gain_if_cost_le_1000,gain_if_cost_le_300
1,286,110902,13.383598,signature_lookup_current,sparse_edit_or_object_completion,exp012_signature_scatter_lookup,signature_scatter_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,2.511422,3.610035,4.708647,5.912620
2,187,105313,13.435308,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",2.459712,3.558325,4.656937,5.860910
3,198,103821,13.449576,line_grid_fill,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,"line, ray, and grid grammar","precomputed row/column masks, small convolution kernels, sparse ScatterND","needs grammar search across line direction, color role, and stop conditions",2.445444,3.544056,4.642668,5.846641
4,203,88402,13.610350,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,2.284670,3.383282,4.481895,5.685867
5,398,84295,13.657922,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,2.237098,3.335710,4.434323,5.638295
6,313,83572,13.666536,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,region and room-fill synthesizer,"static line-grid reductions, boundary masks, limited unroll only after cost model approval",naive flood-fill unroll is correct but too costly,2.228484,3.327096,4.425709,5.629681
7,255,74403,13.782748,same_shape_global_transform,same_shape_global_transform,kojimar_5800_minimal_blend,baseline,phase1_6500_bridge,global transform and artifact surgery,"Gather, Transpose, Slice, color map, and initializer pruning",some current public artifacts are already compact and need graph-level surgery,2.112272,3.210884,4.309496,5.513469
8,107,73131,13.799992,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,2.095028,3.193640,4.292252,5.496225
9,137,72472,13.809044,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",2.085976,3.184588,4.283200,5.487173
10,29,71140,13.827595,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,2.067425,3.166037,4.264650,5.468623
11,280,70516,13.836405,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,2.058615,3.157227,4.255840,5.459812
12,145,69757,13.847227,line_grid_fill,same_shape_global_transform,afr1ste_5689_artifact,baseline,phase1_6500_bridge,"line, ray, and grid grammar","precomputed row/column masks, small convolution kernels, sparse ScatterND","needs grammar search across line direction, color role, and stop conditions",2.047793,3.146405,4.245018,5.448991
13,328,68053,13.871958,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,phase1_6500_bridge,seed-to-pattern grammar,"constant kernels, affine coordinate generation, sparse ScatterND","must infer period, direction, and color binding without overfitting train examples",2.023062,3.121675,4.220287,5.424260
14,233,63540,13.940575,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,1.954445,3.053057,4.151670,5.355642
15,366,60516,13.989337,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.905683,3.004296,4.102908,5.306881
16,275,59812,14.001038,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.893982,2.992594,4.091206,5.295179
17,133,59323,14.009248,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.885773,2.984385,4.082997,5.286970
18,209,59268,14.010175,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.884845,2.983457,4.082070,5.286042
19,204,56172,14.063826,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.831194,2.929806,4.028418,5.232391
20,221,55869,14.069235,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,phase1_6500_bridge,object-anchor crop/resize synthesizer,"Slice/Gather with constant object anchors, bbox from cheap reductions, small ScatterND for padding",bbox/dynamic shape lowering can become expensive or forbidden if NonZero/Compress is used,1.825785,2.924397,4.023010,5.226982
21,13,54112,14.101189,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.793831,2.892444,3.991056,5.195029
22,222,52892,14.123993,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.771028,2.869640,3.968252,5.172225
23,54,52412,14.133109,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.761911,2.860523,3.959136,5.163108
24,303,52348,14.134331,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,phase1_6500_bridge,lookup compression and rule extraction,"compressed decision tree, affine signature hashing, or extracted DSL program; avoid memorized arc-gen labels",high leakage risk; many gains are local-upper-bound only,1.760689,2.859301,3.957914,5.161887
