task_id,route,teacher_gain_vs_strict,example_count,same_shape_rate,sparse_edit_rate,only_background_fill_rate,only_deletion_rate,bbox_preserved_rate,changed_count_median,changed_count_min,changed_count_max,shape_pair_count,dominant_change_pairs,suggested_grammar,lowering_bias,priority_note
20,sparse_edit_or_object_completion,3.132392510829284,266,1.0,1.0,1.0,0.0,1.0,3.0,3,3,1,"{""(0, 4)"": 177, ""(0, 8)"": 168, ""(0, 3)"": 153, ""(0, 1)"": 153, ""(0, 2)"": 147}",sparse background fill with object-role/orbit grammar,tiny ScatterND or one small static mask; avoid full-grid Where chains,highest: likely cheap if rule is found
126,sparse_edit_or_object_completion,3.062383194484042,266,1.0,1.0,1.0,0.0,0.0,3.0,1,5,91,"{""(0, 4)"": 770}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
173,sparse_edit_or_object_completion,3.0290529289117867,266,1.0,1.0,1.0,0.0,0.4548872180451128,3.0,1,16,160,"{""(0, 3)"": 128, ""(0, 6)"": 124, ""(0, 8)"": 109, ""(0, 4)"": 106, ""(0, 1)"": 103, ""(0, 7)"": 95}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
77,sparse_edit_or_object_completion,2.7115265017122514,266,1.0,1.0,0.0,0.0,1.0,12.0,1,31,18,"{""(7, 4)"": 667, ""(5, 4)"": 539, ""(3, 4)"": 463, ""(9, 4)"": 456, ""(1, 4)"": 448, ""(8, 4)"": 443}",shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
366,crop_or_resize,2.626789422844938,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,60,{},shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
71,sparse_edit_or_object_completion,2.6143384064282937,265,1.0,1.0,0.0,0.022641509433962263,0.1018867924528302,16,12,20,1,"{""(8, 0)"": 350, ""(2, 0)"": 346, ""(7, 0)"": 319, ""(6, 0)"": 292, ""(3, 0)"": 290, ""(4, 0)"": 284}",object movement/copy grammar,small object masks and static placement; avoid large ScatterND,medium: object correspondence first
206,sparse_edit_or_object_completion,2.5496243780161354,266,1.0,1.0,0.0,0.0,0.0,5.0,5,7,36,"{""(0, 3)"": 292, ""(0, 2)"": 280, ""(0, 6)"": 278, ""(0, 1)"": 263, ""(5, 2)"": 78, ""(5, 3)"": 66}",shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
64,sparse_edit_or_object_completion,2.3606823164707613,267,1.0,1.0,0.0,0.0,1.0,6,1,38,168,"{""(7, 4)"": 119, ""(6, 8)"": 85, ""(6, 5)"": 78, ""(9, 4)"": 73, ""(1, 5)"": 72, ""(2, 8)"": 70}",shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
370,sparse_edit_or_object_completion,2.2384425559137657,266,1.0,1.0,0.0,0.0,1.0,11.0,1,31,107,"{""(1, 7)"": 132, ""(1, 2)"": 105, ""(5, 8)"": 101, ""(9, 6)"": 98, ""(4, 3)"": 98, ""(1, 9)"": 96}",shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
251,sparse_edit_or_object_completion,2.224486853769072,266,1.0,1.0,1.0,0.0,1.0,8.0,4,28,5,"{""(0, 1)"": 2708}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
51,sparse_edit_or_object_completion,2.2132798329498353,265,1.0,1.0,1.0,0.0,0.0,5,1,16,107,"{""(0, 3)"": 207, ""(0, 2)"": 193, ""(0, 7)"": 191, ""(0, 4)"": 179, ""(0, 8)"": 177, ""(0, 1)"": 155}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
25,sparse_edit_or_object_completion,2.15669561680866,266,1.0,1.0,0.0,0.03759398496240601,0.12406015037593984,8.0,1,28,182,"{""(2, 0)"": 218, ""(3, 0)"": 183, ""(9, 0)"": 173, ""(0, 2)"": 166, ""(1, 0)"": 158, ""(8, 0)"": 156}",shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
378,sparse_edit_or_object_completion,2.147321707713923,267,1.0,1.0,1.0,0.0,0.0,3,1,9,7,"{""(0, 9)"": 106, ""(0, 2)"": 103, ""(0, 5)"": 102, ""(0, 3)"": 101, ""(0, 4)"": 99, ""(0, 7)"": 91}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
208,sparse_edit_or_object_completion,2.138284997363426,266,1.0,1.0,0.0,0.0,1.0,18.0,14,24,1,"{""(1, 3)"": 119, ""(5, 7)"": 110, ""(7, 9)"": 104, ""(4, 7)"": 98, ""(8, 3)"": 95, ""(3, 9)"": 94}",general sparse/object completion grammar,small Conv/Reduce masks before any ScatterND,medium: needs task-specific profile
90,sparse_edit_or_object_completion,2.065553518093761,267,1.0,1.0,1.0,0.0,0.9176029962546817,10,4,28,44,"{""(0, 6)"": 2984}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
37,sparse_edit_or_object_completion,2.0288640669363076,266,1.0,1.0,1.0,0.0,1.0,8.0,2,21,1,"{""(0, 6)"": 267, ""(0, 3)"": 266, ""(0, 4)"": 256, ""(0, 5)"": 250, ""(0, 9)"": 249, ""(0, 1)"": 247}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
158,sparse_edit_or_object_completion,2.018484842329256,266,1.0,1.0,0.0,0.0,1.0,15.0,3,90,33,"{""(2, 4)"": 242, ""(3, 4)"": 189, ""(4, 9)"": 179, ""(4, 6)"": 166, ""(1, 8)"": 151, ""(5, 8)"": 147}",shape-transform/object crop grammar,constant Slice/Gather when shape rule is static; reject full-grid bbox GatherND,medium: first infer shape rule
284,sparse_edit_or_object_completion,2.003884095196378,266,1.0,1.0,1.0,0.0,0.0,22.0,16,28,107,"{""(0, 7)"": 806, ""(0, 3)"": 745, ""(0, 2)"": 734, ""(0, 1)"": 638, ""(0, 6)"": 620, ""(0, 4)"": 582}",sparse color-role fill with local neighborhood predicates,small Conv kernels or tiny coordinate program,high: changed cells are sparse but role inference is needed
